"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"Sahibinden kiralık daire","60","1+1","13.000 TL","EfelerMerkez",""
"Kuşadası Vista Marine Sitesinde En Ön Sırada Eşyalı Kiralık 3+1","168","3+1","48.000 TL","Kuşadası",""
"BAHCE KATI","80","2+1","17.500 TL","Kuşadası","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ORTA MAHALLEDE KİRALIK 2+1 DAİRE","80","2+1","12.000 TL","EfelerMerkez",""
"SEZONLUK YAZLIK","45","1+1","40.000 TL","DidimAkbük",""
"Deniz manzaralı full eşyalı kiralık 21nisan-21mayıs yaz sezonu","115","2+1","20.000 TL","Kuşadası",""
"Memurdan temiz kiralık daire","110","2+1","11.000 TL","Nazilliİsabeyli","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Sahibinden kiralik","145","3+1","8.500 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"kuşadası merkezde kiralık 3+1 daire","140","3+1","15.000 TL","Kuşadası",""
"Kuşadası'nda full eşyalı 3 + 1 deniz manzaralı kiralık daire","150","3+1","22.000 TL","Kuşadası",""
"AQUA CİTY KİRALİK DAİRE","100","2+1","8.000 TL","NazilliAltıntaş",""
"Merkezde geniş, ferah 3+1 daire","165","3+1","23.000 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"kiralık dublex","320","5+1","25.000 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"REALTY WORLD ALYANS'TAN MALAZGİRT MEYDANINDA KİRALIK 3+1 DAİRE","208","3+1","25.500 TL","EfelerMerkez",""
"Türkmen mahallesi geniş ferah aydınlık kiralık 3 + 1 daire","135","3+1","15.000 TL","Kuşadası",""
"UYDUKENTİN EN İYİ DAİRESİNİ KİRALIYORUZ 2+1 EŞYALI FULL MANZARA","100","2+1","14.000 TL","Kuşadası",""
"MET EMLAKTAN Davutlarda Merkezi Konumlu 3+1 Daire","130","3+0","10.000 TL","KuşadasıDavutlar",""
"YAKIT AİDAT İNT.DAHİL HAVUZLU BİNADA ELK.SU AÇIK 2+0 DAİRE","45","2+0","10.000 TL","EfelerMerkez",""
"Son 3 gün! Kaçırılmayacak Fırsat! Bahçe Katı Daire Var Acil! 2+1","80","2+1","23.000 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"CUMA MAH.ZAFER MEYDANI YAKINI 3+1 SOBALI DAİRE","125","3+1","7.500 TL","EfelerMerkez",""
"ADNAN MENDERES MAH.KİRALİK 3+1 DAİRE","150","3+1","20.500 TL","EfelerMerkez",""
"NAZİLLİ ZAFER MAH.3+1 SIFIR KİRALIK DAİRE","160","3+1","25.000 TL","NazilliAltıntaş",""
"KUŞADASINDA DENİZE 150 MT FUL MANZARALI EŞYALI 2+1","110","2+1","23.000 TL","Kuşadası",""
"DEĞİRMENDERE DE HAVUZLU SİTEDE 2+1 KİRALIK DAİRE","90","2+1","15.000 TL","Kuşadası",""
"Ege mahallesinde yeni yapılmış sitede 2+1 kiralık sıfır daire","90","2+1","25.000 TL","Kuşadası","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Kuşadası merkezde kiralık doğalgazlı daire","85","2+1","18.000 TL","Kuşadası",""
"Davutlar'da Eşyalı bahçe katı","80","2+1","25.000 TL","KuşadasıDavutlar",""
"DALLICA MAH HAVUZLU SİTEDE KİRALİK 3+1165 M2 DOĞALGAZLI DAİRE","165","3+1","14.000 TL","NazilliKöyler",""
"AYDIN EFELER MEŞRUTİYET MAHALLESİNDE GENİŞ 3+1 KİRALIK DAİRE","160","3+1","15.000 TL","EfelerMerkez",""
"YENİ EŞYALI SAHİBİNDEN KİRALIK MERKEZİ KONUMDA 2+1 DAİRE","100","2+1","10.000 TL","Kuşadası","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"SAHİBİNDEN KİRALIK FULL EŞYALI DAİRE","105","2+1","40.000 TL","DidimAkbük","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"SÖKE ŞEHR-İ KÖŞK KONAKLARINDA FERAH 3+1 DAİRE","175","3+1","15.000 TL","Söke",""
"RAMAZAN PAŞA CAMİİ ARKASINDA KİRALIK DAİRE","120","3+1","6.500 TL","EfelerMerkez",""
"KİRALIK DAİRE ( СДАЁТСЯ КВАРТИРА)","57","1+1","18.000 TL","Kuşadası",""
