"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","titleIcon src 3"
"Kıbrıs Şehitlerin'de Kiralık 2+1 Daire","85","2+1","15.100 TL","KonakAlsancak","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"İnci Tower Konak'ta Akıllı Ev Konseptinde 1+1 Kiralık Daire","50","1+1","23.000 TL","KonakYenişehir",""
"Kemalpaşa Ulucak'ta Kiralık Sıfır Doğalgazlı Daire","95","2+1","12.000 TL","KemalpaşaUlucak","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Menemen Merkezde Kiralık Doğal Gazlı Daire","95","2+1","15.000 TL","Menemen",""
"ROTA EMLAK'TAN GÜMÜLDÜR GECE PAZARINDA ZEMİN 2+1 KİRALIK DAİRE","120","2+1","16.000 TL","MenderesGümüldür",""
"Aksoyun En Güzel Bölgesinde 3+1 Kiralık Daire","120","3+1","25.000 TL","Karşıyaka",""
"SEYREK'TE 2+1 ARAKAT KİRALIK DAİRE","90","2+1","15.000 TL","MenemenSeyrek",""
"Urla Atatürk Mahallesi'nde Denize 50 Metre 3+1 Kiralık Daire","140","3+1","31.000 TL","Urla",""
"İLAYDA'DAN ÖZKANLAR MİĞROS YANI 3+1 KİRALIK DAİRE","135","3+1","18.000 TL","Bayraklı",""
"YAKAKÖY ÇAMLIKENT SİT. KİRALIK 3+1 DAİRE","135","3+1","16.000 TL","ÇiğliBüyükçiğli",""
"myNEVA'DAN KİRALIK EŞYALI KLİMALI BALKONLU 1+1 DAİRE","50","1+1","9.000 TL","Buca",""
"MY NEVA'DAN İBF'YE 2 DAK. ARA KAT KİRALIK FULL EŞYALI 1+1 DAİRE","50","1+1","13.000 TL","Buca",""
"myNEVA'DAN FULL EŞYALI D. GAZLI KLİMALI KİRALIK 2+1 DAİRE","65","2+1","17.000 TL","Buca",""
"UĞUR UÇAR EMLAK'TAN ÇİĞLİ'DE KİRALIK 2+1 DAİRE","80","2+1","11.000 TL","ÇiğliBüyükçiğli",""
