"searchResultThumbnailPlaceholder src","classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","SAHİBİNDEN KİRALIK DAİRE","165","3+1","25.000 TL","Kuşadası"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Deniz manzaralı dogalgazlı daira","110","2+1","20.000 TL","Kuşadası"
"","Altınkumda denize ve eglence merkezlerine çok yakın çift banyolu","85","2+1","70.000 TL","DidimYenihisar"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Kiralık giriş kat daire","100","2+1","15.000 TL","Kuşadası"
"","Kuşadası Değirmendere Mevki Eşyalı Kiralık Daire","55","1+1","17.000 TL","Kuşadası"
"","DOĞALGAZLI MERKEZİ KONUMDA 3+1","150","3+1","11.500 TL","EfelerMerkez"
"","KONAK GAYRİMENKUL'den 3+1 DOĞALGAZLI MEMUR yada ÖĞRENCİYE","155","3+1","9.500 TL","EfelerMerkez"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Lüx eşyalı 2+1 Dublex Residence daire","130","2+1","22.000 TL","EfelerMerkez"
"","KUŞADASI DEĞİRMENDERE MAHALLESİ'NDE KİRALIK 2+1 DAİRE","75","2+1","15.000 TL","Kuşadası"
"","KUŞADASI KADINLAR DENİZİ'NDE 2+1 EŞYALI KİRALIK DAİRE","95","2+1","23.000 TL","Kuşadası"
"","KUŞADASI 16.000 DEN BAŞLAYAN FULL EŞYALI 1+1 KİRALIK DAİRELER","65","1+1","16.000 TL","Kuşadası"
"","İKİ ÇEŞMELİK MAH. , SİTE İÇİ, HAVUZLU, AİLE APARTMANI, 3+1 DAİRE","140","3+1","18.000 TL","Kuşadası"
"","2+1 Manzaralı Yeni Daire","110","2+1","15.000 TL","EfelerMerkez"
"","SIFIRDOKUZ EMLAK'TAN 3+1 DOĞALGAZLI KİRALIK DAİRE","150","3+1","13.000 TL","Germencik"
"","Kuşadası Değirmendere Uydu kentte 2+1 Deniz Manzaralı Daire","95","2+1","11.500 TL","Kuşadası"
"","Denize Sıfır Kiralık 2+1 Eşyalı Daire","110","2+1","75.000 TL","Kuşadası"
"","Kuşadası ege mah kiralık çatı dubleks","375","5+2","32.000 TL","Kuşadası"
"","MESRUTIYET MAH.DE CIFT CEPHE D.GAZLI 2+1 KIRALIK...!!!","75","2+1","13.000 TL","EfelerMerkez"
"","AYDIN ADNAN MENDERES MAHALLESİNDE KİRALIK 1+1 EŞYALI","45","1+1","11.000 TL","EfelerMerkez"
"","Mustakil Daire","105","2+1","30.000 TL","DidimMerkez"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Doğalgazlı içi sıfır 150 m2","165","3+1","10.000 TL","Germencik"
"","MYKANGURU'DAN KİRALIK CUMHURİYET MAHALLESİN'NDE 3+1 175 M² DAİRE","175","3+1","20.000 TL","EfelerMerkez"
"","KUŞADASI...EGE MAH...3+1.. .EŞYALI...","140","3+1","16.000 TL","Kuşadası"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","CUMHURIYET MAH BELEDİYE BiNASI ARKASINDA 3+1 KiRALIK DAiRE","130","4+1","12.500 TL","DidimYenihisar"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Sahibinden kiralık","50","1+1","5.500 TL","NazilliSümer"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","SAHİBİNDEN KIRALIK DOGALGAZLI 3+1","150","3+1","10.000 TL","Kuyucak"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","MİMAR SİNAN MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK LÜKS DAİRE","210","3+1","25.000 TL","EfelerMerkez"
"","denize 400 metre mesafede kiralık daire","120","3+1","20.000 TL","DidimYenihisar"
"","Aydın Zafer Mah.2+1 Dubleks Eşyalı Kiralık","100","2+1","30.000 TL","EfelerMerkez"
"","Aydın Kurtuluş Mah.2+1Kiralık Daire","100","2+1","13.000 TL","EfelerMerkez"
