"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"BUCA ATATÜRK MAH ÜNİV KARŞISI 1+1 KİRALIK DAİRE","60","1+1","11.500 TL","Buca",""
"ADATEPE FULL EŞYALI 3+1 YÜKSEK GİRİŞ BUCA KİRALIK","155","3+1","20.000 TL","Buca",""
"KELEPİR KİRALIK 3+1 170 MK DAİRE ÇEVİKBİR YAKINI YENİGÜN BUCA","170","3+1","12.000 TL","Buca",""
"Çimen Park Sitesinde Manzaralı 1+1 Kiralık Daire","60","1+1","12.500 TL","ÇiğliEgekent",""
"FIRAT MAH LÜKS FUL EŞYALİ 174 MK ARA KAT MERKEZİ KONUM KİRALİK","174","3+1","30.000 TL","BucaŞirinyer",""
"BUCA YAYLACIK MAH 2+1 EŞYASIZ 90 M2 KOT DAİRE KİRALIK","90","2+1","12.000 TL","Buca",""
"ÇEŞME DALYAN DA EŞYALI KİRALIK 2+1 DAİRE","90","2+1","200.000 TL","Çeşme",""
"Lüks Eşyalı Kiralık Evimiz","150","2+1","100.000 TL","MenderesÖzdere",""
"KOZAĞAÇ MEYDANİ EŞYALİ 2+1 KAMELYALİ KİRALİK 15 ten 13 E İNDİ","65","2+1","15.000 TL","Buca",""
"REİSDERE'DE KİRALIK 2+1 DAİRE","120","2+1","27.500 TL","Çeşme",""
"HASANAĞA YAKIN MERKEZİ KONUMDA KLİMALI EŞYALI 2+1 DAİRE","105","2+1","10.000 TL","Buca","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Sahibinden 2+1 Eşyalı","100","2+1","16.000 TL","BornovaKazımdirik","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"zafer mahallesi köprülüler sokak 3.jat kiralık daire","150","3+1","12.500 TL","Bergama",""
"NEZİH BÖLGEDE AYRI MUTFAKLI ÖN CEPE DAİRE","130","3+1","21.000 TL","Seferihisar",""
"Masrafsız eşyalı 2+1","120","2+1","12.500 TL","KarabağlarFahrettinaltay","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ADLİYE KARŞISINDA MİĞROS ÜSTÜ KİRALIK DAİRE 150M2 3+1","180","3+1","20.000 TL","Ödemiş",""
"ORDU CADDESİ 2+1 ASANSÖRLÜ FULL EŞYALI KİRALIK DAİRE","90","2+1","18.000 TL","KarabağlarYeşilyurt",""
"Seyrek'de Eşyalı,Doğalg­azlı,Klimalı, 3 Cehpeli ,Arakat Kiralık","50","1+1","10.000 TL","MenemenSeyrek",""
